candidate,dataset_period,ym,trades,pnl_pts,exp_pts,exp_sg
PREFADE-F,SPX500_TRAIN,2008-09,6,26.297235986035957,4.3828726643393265,0.9125420814008347
PREFADE-F,SPX500_TRAIN,2008-10,7,46.8490369203862,6.692719560055171,0.4206685810934487
PREFADE-F,SPX500_TRAIN,2008-11,6,43.95537291267294,7.32589548544549,1.54045949270051
PREFADE-F,SPX500_TRAIN,2008-12,6,21.341122762902387,3.5568537938170643,1.3752257120150564
PREFADE-F,SPX500_TRAIN,2009-01,5,19.61899569456932,3.9237991389138642,1.4086379440374306
PREFADE-F,SPX500_TRAIN,2009-02,6,-21.542243858443726,-3.5903739764072875,-1.2098960852541594
PREFADE-F,SPX500_TRAIN,2009-03,5,8.304668238433806,1.660933647686761,0.2993355037319973
PREFADE-F,SPX500_TRAIN,2009-04,4,15.651885346882978,3.9129713367207444,1.4835884126604835
PREFADE-F,SPX500_TRAIN,2009-05,4,7.583488321385971,1.8958720803464928,0.3156316642950734
PREFADE-F,SPX500_TRAIN,2009-06,10,9.95241964770571,0.995241964770571,0.654999869814191
PREFADE-F,SPX500_TRAIN,2009-07,8,-2.5232077754851616,-0.3154009719356452,-0.012175976420108786
PREFADE-F,SPX500_TRAIN,2009-08,5,12.144421103896889,2.428884220779378,1.5098754688167557
PREFADE-F,SPX500_TRAIN,2009-09,9,-5.2250728799132276,-0.580563653323692,-0.49316871433264836
PREFADE-F,SPX500_TRAIN,2009-10,5,-1.1011215758398976,-0.22022431516797952,-0.10324852504098603
PREFADE-F,SPX500_TRAIN,2009-11,2,4.44557485727637,2.222787428638185,1.3749559017055502
PREFADE-F,SPX500_TRAIN,2009-12,2,-2.1082530238293202,-1.0541265119146601,-0.13608265429463673
PREFADE-F,SPX500_TRAIN,2010-02,6,8.019022235904686,1.3365037059841143,1.0217414077188616
PREFADE-F,SPX500_TRAIN,2010-03,8,-4.734968441048522,-0.5918710551310653,-0.6008841026500544
PREFADE-F,SPX500_TRAIN,2010-04,6,-1.498112920996391,-0.24968548683273184,-0.36275850010656246
PREFADE-F,SPX500_TRAIN,2010-05,2,-4.033238805709516,-2.016619402854758,-0.9701126053531148
PREFADE-F,SPX500_TRAIN,2010-06,6,-6.245870060021389,-1.0409783433368982,0.07226423679302156
PREFADE-F,SPX500_TRAIN,2010-07,9,14.78782181975646,1.6430913133062732,0.8170632454456157
PREFADE-F,SPX500_TRAIN,2010-08,5,-8.378588062546896,-1.6757176125093793,-0.8064417876202409
PREFADE-F,SPX500_TRAIN,2010-09,5,10.799145039713949,2.1598290079427898,1.2739798966975282
PREFADE-F,SPX500_TRAIN,2010-10,8,-1.4572993918457087,-0.18216242398071358,-0.007374231484690019
PREFADE-F,SPX500_TRAIN,2010-11,8,-0.7858388284880675,-0.09822985356100844,0.2575444602518883
PREFADE-F,SPX500_TRAIN,2010-12,7,8.45137576744628,1.2073393953494684,0.5186314599341177
PREFADE-F,SPX500_TRAIN,2011-01,10,9.671970924814104,0.9671970924814104,0.7320110693387634
PREFADE-F,SPX500_TRAIN,2011-02,9,6.074695144623547,0.6749661271803942,0.7134979571400872
PREFADE-F,SPX500_TRAIN,2011-03,3,5.21324366414251,1.7377478880475035,1.5863581166633878
PREFADE-F,SPX500_TRAIN,2011-04,11,16.6216848428287,1.5110622584389726,0.7061062850331669
PREFADE-F,SPX500_TRAIN,2011-05,4,10.821920902523289,2.705480225630822,1.571971819640585
PREFADE-F,SPX500_TRAIN,2011-06,8,2.993981876938051,0.37424773461725636,-0.03450285628829264
PREFADE-F,SPX500_TRAIN,2011-07,8,-9.133514665427583,-1.141689333178448,-0.47564925825041626
