n,exp,exp_sg,pf,sharpe,wr,posY,nY,S,R,K,TS,W
345,0.1994777070257926,0.17112662884530314,1.072759019283981,0.4472023962532934,0.5739130434782609,7,10,0.5,5,2.5,240,"(570, 690)"
896,0.6611657248390598,0.2129073880970181,1.268430098655639,1.6337398070659606,0.5970982142857143,7,10,0.5,5,2.5,300,"(240, 810)"
715,0.8252034693485486,0.24810921294661586,1.325384173923983,1.876975622619412,0.5972027972027972,7,10,0.5,5,2.5,300,"(450, 810)"
548,0.5148633930396783,0.15858090957885304,1.1827612263822695,1.0828479645253788,0.5693430656934306,6,10,0.5,5,2.5,300,"(570, 810)"
345,0.038484059830858786,0.1387647297888054,1.0129078528514344,0.08142902866073597,0.5768115942028985,7,10,0.5,5,2.5,300,"(570, 690)"
883,0.7915906983821441,0.19484059665397876,1.3701672555981588,2.1244782616710016,0.5956964892412231,7,10,0.5,5,3.0,180,"(240, 810)"
705,1.045574641284039,0.2634040806780569,1.480402699874152,2.5565419374884235,0.6127659574468085,8,10,0.5,5,3.0,180,"(450, 810)"
539,0.7992742092305294,0.17819878626090307,1.3416195924189445,1.8702620786454907,0.5825602968460112,8,10,0.5,5,3.0,180,"(570, 810)"
338,0.3852287493021789,0.1569496725318741,1.1566221989166015,0.9292653775479862,0.5798816568047337,7,10,0.5,5,3.0,180,"(570, 690)"
879,0.6914455424334421,0.1835961037697354,1.2867479241726718,1.720247445771629,0.608646188850967,6,10,0.5,5,3.0,240,"(240, 810)"
704,0.8947874514820268,0.23916899721258017,1.3641390705619196,2.0446763423057015,0.6107954545454546,7,10,0.5,5,3.0,240,"(450, 810)"
537,0.5464827833633291,0.13342350790402543,1.1978914978379163,1.154252033368824,0.5791433891992551,7,10,0.5,5,3.0,240,"(570, 810)"
338,0.05529969062249741,0.10614119821535435,1.0189678999985974,0.12048261783230346,0.5887573964497042,7,10,0.5,5,3.0,240,"(570, 690)"
879,0.6500518389618314,0.17207599479560576,1.2575095965936454,1.5644252793898394,0.6154721274175199,6,10,0.5,5,3.0,300,"(240, 810)"
704,0.8389079573037851,0.22706614853566706,1.3245972205625574,1.851520671228281,0.6164772727272727,7,10,0.5,5,3.0,300,"(450, 810)"
537,0.4889263513842193,0.12083597216294,1.1682838840204413,1.0018703931435975,0.5828677839851024,7,10,0.5,5,3.0,300,"(570, 810)"
338,-0.041997507403530726,0.08532823896914002,0.9864695469944362,-0.08766635620341379,0.591715976331361,7,10,0.5,5,3.0,300,"(570, 690)"
3454,0.35386544087138555,0.12298303921942973,1.220728740965112,1.6565432594560296,0.5234510712217718,8,10,0.75,3,2.0,180,"(240, 810)"
2501,0.40047229241214494,0.14396023216651072,1.2277699524197667,1.59567637485209,0.5273890443822471,9,10,0.75,3,2.0,180,"(450, 810)"
1845,0.2804073632065197,0.10145051487487264,1.1477152209050594,0.999589642257716,0.5127371273712737,8,10,0.75,3,2.0,180,"(570, 810)"
1329,0.24029827674725257,0.11423976251165315,1.130957372154619,0.8613812401983211,0.5161775771256584,6,10,0.75,3,2.0,180,"(570, 690)"
3450,0.3347747613751524,0.12276070270375593,1.1969590948334519,1.5090753020778411,0.527536231884058,8,10,0.75,3,2.0,240,"(240, 810)"
2500,0.3568187268334679,0.1348833397872198,1.1919141927519483,1.3710450007236437,0.5248,8,10,0.75,3,2.0,240,"(450, 810)"
1844,0.23346456151416728,0.09247209310558184,1.1152695453048183,0.7926903414474524,0.5108459869848156,7,10,0.75,3,2.0,240,"(570, 810)"
1329,0.1461216006492154,0.09422638760512449,1.0738723647388826,0.501659748122504,0.5139202407825433,6,10,0.75,3,2.0,240,"(570, 690)"
3448,0.3169955271788363,0.11781953704105655,1.1816411958217248,1.4043865328839953,0.5295823665893271,8,10,0.75,3,2.0,300,"(240, 810)"
2500,0.33886130374349366,0.1320317726031074,1.1781640742183397,1.2853841870763802,0.5288,8,10,0.75,3,2.0,300,"(450, 810)"
1844,0.20555867242709727,0.0865642891617866,1.0987064034666814,0.686998714728578,0.5140997830802603,7,10,0.75,3,2.0,300,"(570, 810)"
1329,0.1029451720829405,0.08546007500128527,1.0502425394455295,0.34545984648214473,0.5161775771256584,6,10,0.75,3,2.0,300,"(570, 690)"
3322,0.3852980266649865,0.1400834862784418,1.229895335229978,1.6656265970336124,0.569837447320891,9,10,0.75,3,2.5,180,"(240, 810)"
2414,0.49145155531814655,0.18695449629154562,1.2714076103278629,1.7960887291179284,0.5803645401822701,10,10,0.75,3,2.5,180,"(450, 810)"
1781,0.387185688329344,0.14654571816478965,1.1994744103309076,1.2811782638391154,0.5631667602470523,9,10,0.75,3,2.5,180,"(570, 810)"
1296,0.3011805515577902,0.1564309575502375,1.1582295100264948,1.00771193078142,0.5679012345679012,7,10,0.75,3,2.5,180,"(570, 690)"
3318,0.3506643850787,0.135052971596417,1.1948014778323435,1.442613897850992,0.578963230861965,8,10,0.75,3,2.5,240,"(240, 810)"
2412,0.4333002953831458,0.17682964167941892,1.2239006009812674,1.5192197001657906,0.582089552238806,8,10,0.75,3,2.5,240,"(450, 810)"
1780,0.31092459691091595,0.13085600982525822,1.1477876106389715,0.9718737967915647,0.5651685393258427,8,10,0.75,3,2.5,240,"(570, 810)"
1296,0.2068530722021276,0.13670732720139672,1.1002543293013822,0.6600700006159601,0.5709876543209876,7,10,0.75,3,2.5,240,"(570, 690)"
