level,stop_sigma,time_stop,window,target,n,gross_exp,gross_pf,gross_sharpe,net_exp,pos_years,n_years,wr,max_dd,share_top5
2.5,2.5,120,"(420, 570)",l1,1266,0.2723827413633406,1.1981209386066427,1.1546617642466386,-0.3576172586366594,9,10,0.684044233807267,-93.31949805305112,0.20903915858970729
2.5,2.5,120,"(450, 570)",vwap,1014,0.6899332053322366,1.3036832012588448,1.8579210750892263,0.05993320533223656,9,10,0.6143984220907298,-126.55429491946461,0.16574921718721383
2.5,2.5,120,"(450, 570)",l1,1083,0.3391527524772247,1.2564268982341043,1.4469572085465074,-0.2908472475227753,9,10,0.6915974145891043,-93.49019412903272,0.19625337681054694
2.5,2.5,120,"(480, 570)",vwap,841,0.6650994424926223,1.2825706474103584,1.7580407663464794,0.03509944249262231,8,10,0.6076099881093936,-104.16585271528038,0.20730697222134184
2.5,2.5,120,"(480, 570)",l1,894,0.2658599609191134,1.1889676311650321,1.08843152370391,-0.3641400390808866,6,10,0.6823266219239373,-105.30015964200197,0.2988860883608879
2.5,2.5,180,"(420, 570)",vwap,1177,0.6221468296627172,1.2655798485365803,1.6493039562420644,-0.007853170337282833,9,10,0.6176720475785896,-141.36151844986261,0.1583533053873533
2.5,2.5,180,"(420, 570)",l1,1266,0.2983353495154697,1.2205996253489373,1.2726277831873514,-0.3316646504845303,9,10,0.6856240126382307,-94.45393002642595,0.19085455063044118
2.5,2.5,180,"(450, 570)",vwap,1014,0.7271653283358115,1.313379212396549,1.9147978681782205,0.09716532833581148,9,10,0.626232741617357,-126.55429491946461,0.15726257047623282
2.5,2.5,180,"(450, 570)",l1,1083,0.35838646774499044,1.2747600713403997,1.5406550543178423,-0.27161353225500956,9,10,0.6925207756232687,-93.49019412903272,0.18572094350283214
2.5,2.5,180,"(480, 570)",vwap,841,0.7160940413241341,1.3031119270768057,1.8715581984035272,0.08609404132413412,8,10,0.619500594530321,-100.82013409709907,0.19254419628222805
2.5,2.5,180,"(480, 570)",l1,894,0.2658599609191134,1.1889676311650321,1.08843152370391,-0.3641400390808866,6,10,0.6823266219239373,-105.30015964200197,0.2988860883608879
2.5,2.5,240,"(420, 570)",vwap,1177,0.644945940246659,1.2754436204841,1.7058144324466302,0.014945940246658962,9,10,0.6193712829226848,-141.36151844986261,0.1527554493570041
2.5,2.5,240,"(420, 570)",l1,1266,0.2989433827332053,1.2211486551223092,1.2754952531273531,-0.3310566172667947,9,10,0.6856240126382307,-94.45393002642595,0.19046636372535464
2.5,2.5,240,"(450, 570)",vwap,1014,0.7406741779190879,1.3192609751269728,1.9456073876323048,0.11067417791908785,9,10,0.6272189349112426,-126.55429491946461,0.15439432358309638
2.5,2.5,240,"(450, 570)",l1,1083,0.35909724341780047,1.2754550952511967,1.5441185532539041,-0.27090275658219953,9,10,0.6925207756232687,-93.49019412903272,0.18535333854068667
2.5,2.5,240,"(480, 570)",vwap,841,0.7009437845143608,1.2944909695898024,1.827038426630613,0.07094378451436079,8,10,0.619500594530321,-100.05433483881188,0.1967058624320009
2.5,2.5,240,"(480, 570)",l1,894,0.2658599609191134,1.1889676311650321,1.08843152370391,-0.3641400390808866,6,10,0.6823266219239373,-105.30015964200197,0.2988860883608879
2.5,3.0,120,"(420, 570)",vwap,1158,0.6938494644892661,1.313481224983833,1.847767918489122,0.0638494644892661,9,10,0.6476683937823834,-124.22713292735125,0.14431872103098387
2.5,3.0,120,"(420, 570)",l1,1252,0.30417967346785624,1.227049724153416,1.2670454918866978,-0.32582032653214377,9,10,0.6932907348242812,-80.52738585451789,0.18928073885835714
2.5,3.0,120,"(450, 570)",vwap,997,0.7616293298353839,1.3328007635718855,1.9371435058251805,0.1316293298353839,9,10,0.6609829488465396,-118.62938943828931,0.1527065515290266
2.5,3.0,120,"(450, 570)",l1,1071,0.34020735458197965,1.2588647091375336,1.3845052518522012,-0.28979264541802036,8,10,0.7002801120448179,-78.7028850309598,0.1978371158239568
