candidate,instrument,split,t_entry,side,mae,mfe,pnl_pts
M2-CTX,SPX500,TRAIN,2006-12-29 14:48:00+00:00,-1,2.0,0.7999999999999545,0.6750939762557664
M2-CTX,SPX500,TRAIN,2007-01-05 16:08:00+00:00,1,3.900000000000091,0.5,-3.7667562200801967
M2-CTX,SPX500,TRAIN,2007-01-09 14:46:00+00:00,1,1.400000000000091,2.0,1.9423244708225411
M2-CTX,SPX500,TRAIN,2007-01-11 14:47:00+00:00,-1,4.7000000000000455,1.0,-4.243543763279604
M2-CTX,SPX500,TRAIN,2007-01-12 14:48:00+00:00,-1,1.7000000000000455,2.0,1.9877397130642294
M2-CTX,SPX500,TRAIN,2007-01-12 17:57:00+00:00,-1,2.2999999999999545,2.7000000000000455,-2.2999999999999545
M2-CTX,SPX500,TRAIN,2007-01-17 17:00:00+00:00,-1,2.5,1.5,1.3470635984720047
M2-CTX,SPX500,TRAIN,2007-01-19 14:40:00+00:00,-1,0.2999999999999545,1.7000000000000455,1.6157717651155963
M2-CTX,SPX500,TRAIN,2007-01-19 15:56:00+00:00,-1,1.2999999999999545,3.400000000000091,2.9475040003151207
M2-CTX,SPX500,TRAIN,2007-01-22 15:09:00+00:00,1,3.7000000000000455,0.0,-3.3614212105030674
M2-CTX,SPX500,TRAIN,2007-01-23 17:51:00+00:00,-1,1.0,4.2000000000000455,4.048956561966634
M2-CTX,SPX500,TRAIN,2007-01-29 14:44:00+00:00,-1,2.0,1.2000000000000455,1.0605423763174713
M2-CTX,SPX500,TRAIN,2007-01-30 16:16:00+00:00,-1,2.7000000000000455,1.5,1.2953658095480023
M2-CTX,SPX500,TRAIN,2007-01-31 15:34:00+00:00,-1,1.0,2.2000000000000455,2.0264814302727245
M2-CTX,SPX500,TRAIN,2007-02-06 15:55:00+00:00,1,2.699999999999818,0.5,-2.5167657941779
M2-CTX,SPX500,TRAIN,2007-02-06 17:00:00+00:00,1,0.0,4.0,3.848112829165075
M2-CTX,SPX500,TRAIN,2007-02-09 18:17:00+00:00,1,5.7999999999999545,1.2000000000000455,-5.693457837341157
M2-CTX,SPX500,TRAIN,2007-02-12 15:02:00+00:00,1,1.0,2.2999999999999545,2.0235995732430183
M2-CTX,SPX500,TRAIN,2007-02-14 15:10:00+00:00,-1,2.7000000000000455,1.5,-2.0
M2-CTX,SPX500,TRAIN,2007-02-22 16:31:00+00:00,1,1.7000000000000455,4.5,3.5
M2-CTX,SPX500,TRAIN,2007-02-28 15:46:00+00:00,-1,0.5,10.5,10.23663198808731
M2-CTX,SPX500,TRAIN,2007-03-01 14:34:00+00:00,1,1.0,17.0,13.539042948200859
M2-CTX,SPX500,TRAIN,2007-03-02 17:45:00+00:00,1,8.0,4.2000000000000455,-7.2000000000000455
M2-CTX,SPX500,TRAIN,2007-03-05 15:00:00+00:00,-1,6.7000000000000455,5.2999999999999545,4.887056935045621
M2-CTX,SPX500,TRAIN,2007-03-07 18:25:00+00:00,-1,3.0,3.3999999999998636,3.1828464394043294
M2-CTX,SPX500,TRAIN,2007-03-14 13:40:00+00:00,-1,1.0,5.5,4.630168182040961
M2-CTX,SPX500,TRAIN,2007-03-14 16:52:00+00:00,1,1.0,11.299999999999955,11.201936489218951
M2-CTX,SPX500,TRAIN,2007-03-20 16:08:00+00:00,-1,3.5,2.0,-3.0
M2-CTX,SPX500,TRAIN,2007-03-29 15:59:00+00:00,1,4.5,3.900000000000091,3.0577886091443816
M2-CTX,SPX500,TRAIN,2007-03-30 15:43:00+00:00,1,7.5,0.20000000000004547,-6.310631917254113
M2-CTX,SPX500,TRAIN,2007-04-02 14:08:00+00:00,1,1.0,4.2000000000000455,3.49811779620336
M2-CTX,SPX500,TRAIN,2007-05-01 14:02:00+00:00,1,3.2999999999999545,0.20000000000004547,-2.8020126998471824
M2-CTX,SPX500,TRAIN,2007-05-01 14:25:00+00:00,1,0.7999999999999545,4.7000000000000455,4.6534942740861425
M2-CTX,SPX500,TRAIN,2007-05-02 14:37:00+00:00,-1,2.5,2.0,-1.5
M2-CTX,SPX500,TRAIN,2007-05-14 13:40:00+00:00,-1,0.7999999999999545,1.2000000000000455,1.1693107411949768
M2-CTX,SPX500,TRAIN,2007-05-17 13:45:00+00:00,1,1.2000000000000455,1.2999999999999545,1.2577375162593398
M2-CTX,SPX500,TRAIN,2007-05-21 16:07:00+00:00,-1,2.2000000000000455,1.7999999999999545,1.7774936222131146
M2-CTX,SPX500,TRAIN,2007-05-22 14:21:00+00:00,1,0.0,2.0,1.8470672516630202
M2-CTX,SPX500,TRAIN,2007-05-22 15:56:00+00:00,1,0.0,2.800000000000182,2.4420039059823466
M2-CTX,SPX500,TRAIN,2007-05-22 16:56:00+00:00,-1,2.5,1.199999999999818,-2.353512367764779
M2-CTX,SPX500,TRAIN,2007-05-23 14:04:00+00:00,-1,1.2999999999999545,2.400000000000091,2.13583893087889
M2-CTX,SPX500,TRAIN,2007-05-25 14:40:00+00:00,-1,1.0,3.7000000000000455,3.3858971722854676
M2-CTX,SPX500,TRAIN,2007-06-01 14:04:00+00:00,-1,0.2999999999999545,4.0,3.61123606691649
M2-CTX,SPX500,TRAIN,2007-06-12 14:25:00+00:00,1,0.7000000000000455,6.2999999999999545,5.557277476576928
M2-CTX,SPX500,TRAIN,2007-06-18 14:04:00+00:00,1,1.900000000000091,2.2999999999999545,2.219234378845158
M2-CTX,SPX500,TRAIN,2007-06-20 13:50:00+00:00,1,4.2000000000000455,1.0,-4.2000000000000455
M2-CTX,SPX500,TRAIN,2007-06-21 13:59:00+00:00,1,2.2000000000000455,6.199999999999818,5.41872478043274
M2-CTX,SPX500,TRAIN,2007-06-22 14:31:00+00:00,1,0.0,5.2000000000000455,4.940615150425174
M2-CTX,SPX500,TRAIN,2007-06-22 17:08:00+00:00,1,1.3999999999998636,8.0,5.7999999999999545
M2-CTX,SPX500,TRAIN,2007-06-25 13:39:00+00:00,1,6.2000000000000455,0.7000000000000455,-3.9825568838384697
M2-CTX,SPX500,TRAIN,2007-06-25 13:52:00+00:00,1,0.0,7.0,6.147074576267414
M2-CTX,SPX500,TRAIN,2007-06-27 13:53:00+00:00,-1,4.899999999999864,4.0,-4.606946239583067
M2-CTX,SPX500,TRAIN,2007-07-02 14:01:00+00:00,-1,2.0,2.900000000000091,2.779814322232596
M2-CTX,SPX500,TRAIN,2007-07-06 13:46:00+00:00,1,0.7000000000000455,3.2999999999999545,2.8106851210777677
M2-CTX,SPX500,TRAIN,2007-07-06 15:31:00+00:00,-1,1.2000000000000455,4.0,3.6412766970247503
M2-CTX,SPX500,TRAIN,2007-07-17 13:39:00+00:00,-1,1.800000000000182,2.699999999999818,2.057840559581109
M2-CTX,SPX500,TRAIN,2007-07-18 15:37:00+00:00,1,3.7999999999999545,4.7000000000000455,3.6692186632919856
M2-CTX,SPX500,TRAIN,2007-07-20 13:56:00+00:00,1,4.0,0.0,-3.515642411963654
M2-CTX,SPX500,TRAIN,2007-07-20 16:04:00+00:00,1,2.7000000000000455,10.200000000000045,9.328611554857616
M2-CTX,SPX500,TRAIN,2007-07-25 14:42:00+00:00,1,8.199999999999818,1.0,-8.0
M2-CTX,SPX500,TRAIN,2007-07-26 15:34:00+00:00,1,19.200000000000045,7.899999999999864,-18.21628310937308
M2-CTX,SPX500,TRAIN,2007-07-27 15:56:00+00:00,1,6.399999999999864,8.5,8.149387025038322
M2-CTX,SPX500,TRAIN,2007-07-30 14:24:00+00:00,-1,0.20000000000004547,8.700000000000045,8.387077520138973
M2-CTX,SPX500,TRAIN,2007-08-01 13:34:00+00:00,-1,3.5,12.099999999999909,12.023083439800757
M2-CTX,SPX500,TRAIN,2007-08-01 14:14:00+00:00,-1,0.7999999999999545,13.399999999999864,13.327134623089933
M2-CTX,SPX500,TRAIN,2007-08-03 13:57:00+00:00,1,6.2000000000000455,0.2999999999999545,-5.463440348837594
M2-CTX,SPX500,TRAIN,2007-08-07 14:06:00+00:00,-1,1.5,5.0,4.396219567669959
M2-CTX,SPX500,TRAIN,2007-08-07 15:48:00+00:00,-1,7.199999999999818,0.7000000000000455,-6.881712879045608
M2-CTX,SPX500,TRAIN,2007-08-10 16:08:00+00:00,-1,11.399999999999864,10.0,9.264804017363076
M2-CTX,SPX500,TRAIN,2007-08-14 14:14:00+00:00,1,6.900000000000091,0.2999999999999545,-6.735454134917518
M2-CTX,SPX500,TRAIN,2007-08-14 14:55:00+00:00,1,6.0,9.0,8.88463973531816
M2-CTX,SPX500,TRAIN,2007-08-15 14:14:00+00:00,-1,8.399999999999864,5.7999999999999545,5.731009008648243
M2-CTX,SPX500,TRAIN,2007-08-16 16:02:00+00:00,1,12.5,3.0,-11.707019545109688
M2-CTX,SPX500,TRAIN,2007-08-16 16:59:00+00:00,1,3.2000000000000455,19.0,18.143758267816793
M2-CTX,SPX500,TRAIN,2007-08-20 15:59:00+00:00,1,7.899999999999864,1.0,-7.444009023178069
M2-CTX,SPX500,TRAIN,2007-08-21 15:47:00+00:00,-1,2.2999999999999545,8.200000000000045,6.994601124556084
M2-CTX,SPX500,TRAIN,2007-08-23 13:37:00+00:00,1,6.7000000000000455,1.0,-5.479213449747249
M2-CTX,SPX500,TRAIN,2007-08-24 16:21:00+00:00,-1,8.0,1.2000000000000455,-6.966613561761733
M2-CTX,SPX500,TRAIN,2007-08-29 15:39:00+00:00,-1,1.7999999999999545,7.7000000000000455,7.308655112738961
M2-CTX,SPX500,TRAIN,2007-08-30 15:20:00+00:00,-1,2.0,8.700000000000045,7.576327015887955
M2-CTX,SPX500,TRAIN,2007-08-31 16:35:00+00:00,-1,2.7999999999999545,6.2000000000000455,5.964340657602861
M2-CTX,SPX500,TRAIN,2007-09-04 13:58:00+00:00,-1,7.5,1.0,-7.0947119960615055
M2-CTX,SPX500,TRAIN,2007-09-05 14:01:00+00:00,1,5.5,2.2999999999999545,1.9858484844728537
M2-CTX,SPX500,TRAIN,2007-09-06 16:18:00+00:00,-1,0.1999999999998181,7.800000000000182,7.434785258386
M2-CTX,SPX500,TRAIN,2007-09-10 15:14:00+00:00,1,3.2000000000000455,8.799999999999955,8.790068792982538
M2-CTX,SPX500,TRAIN,2007-09-12 13:48:00+00:00,-1,3.2999999999999545,1.5,-3.128766736451553
M2-CTX,SPX500,TRAIN,2007-09-12 14:32:00+00:00,-1,4.0,3.2000000000000455,2.4388381644719175
M2-CTX,SPX500,TRAIN,2007-09-26 15:07:00+00:00,-1,2.2999999999999545,2.8999999999998636,1.9916107475808076
M2-CTX,SPX500,TRAIN,2007-09-27 15:28:00+00:00,1,0.7000000000000455,3.0,2.931521733478803
M2-CTX,SPX500,TRAIN,2007-09-28 14:47:00+00:00,1,0.2999999999999545,4.7000000000000455,4.4862793129643705
M2-CTX,SPX500,TRAIN,2007-10-01 13:38:00+00:00,-1,4.699999999999818,0.8000000000001819,-3.7195462012323333
